word,word_book,definition,CEFR,tag,phonetic
accidental,"[""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 偶然的，意外的,B1,null,/ˌæksɪˈdɛntəl/
accidentally,"[""cet6"", ""ielts""]",adv.. 偶然地；意外地,B1,null,/ˌæksɪˈdentəli/
acclaim,"[""tem8"", ""toefl"", ""greA""]",v.. 赞扬，称赞 ; n.. 赞扬，喝彩,C2,null,/əˈkleɪm/
acclimate,"[""greA""]",v.. 适应（新环境）,C2,null,/əˈklaɪmət/
accolade,"[""greA""]",n.. 荣誉，嘉奖,C2,null,/ˈækəleɪd/
accommodate,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 容纳；提供住宿；适应 ; n.. 住宿；膳宿,B2,null,"/əˈkɒmədeɪt/ (UK), /əˈkɑːmədeɪt/ (US)"
accommodating,"[""greA""]",adj.. 乐于助人的；随和的,B2,null,"/əˈkɒmədeɪtɪŋ/ (UK), /əˈkɑːmədeɪtɪŋ/ (US)"
accommodation,"[""highschool"", ""cet4"", ""tem4"", ""ielts""]",n.. 住处，膳宿,B2,"```json
[""Economy"", ""Travel"", ""Society""]
```",/əˌkɒməˈdeɪʃən/
accompaniment,"[""tem4"", ""ielts""]",n.. 伴奏；伴随物,B1,null,/əˈkʌmpənɪmənt/
accompanist,"[""tem8""]",n.. 伴奏者,C2,null,/əˈkʌmpənɪst/
accompany,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 陪伴，伴随 ; v.. 伴奏,B1,null,/əˈkʌmpəni/
accomplice,"[""tem8"", ""toefl"", ""greA""]",n.. 共犯，同谋,C2,null,/əˈkɒmplɪs/
accomplish,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 完成，实现,B1,null,/əˈkʌmplɪʃ/
accomplished,"[""tem4"", ""toefl"", ""greA""]",adj.. 完成的；熟练的；有造诣的,B1,null,/əˈkʌmplɪʃt/
accomplishment,"[""tem4"", ""ielts""]",n.. 成就；完成,B1,null,/əˈkʌmplɪʃmənt/
accord,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 给予；授予 ; n.. 协议；一致,C1,"```json
[""Economy"", ""Politics"", ""Laws""]
```",/əˈkɔːrd/
accordance,"[""cet4"", ""tem4""]",n.. 一致，符合,A2,null,/əˈkɔːrdəns/
according,"[""tem4""]",adv.. 依照，根据,B2,null,/əˈkɔːrdɪŋ/
accordingly,"[""cet4"", ""tem4""]",adv.. 相应地；因此,B2,"```json
[""Economy"", ""Science"", ""Art"", ""History"", ""Politics"", ""Environment"", ""Health"", ""Education"", ""Society"", ""Laws""]
```",/əˈkɔːrdɪŋli/
accordion,"[""tem4""]",n.. 手风琴,B2,null,/əˈkɔːrdiən/
accost,"[""toefl"", ""greA""]",v.. 搭讪；招呼,C2,null,/əˈkɔːst/
account,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",v.. 解释；说明；认为 ; n.. 账户；账目；描述；解释；理由；重要性,A2,null,/əˈkaʊnt/
accountability,"[""greA""]",n.. 问责，责任,A2,null,/əˌkaʊn.təˈbɪl.ə.ti/
accountable,"[""cet6"", ""tem8""]",adj.. 负有责任的,A2,null,/əˈkaʊntəbəl/
accountancy,"[""tem8""]",n.. 会计学；会计工作,A2,"```json
[""Economy"", ""Education"", ""Laws""]
```",/əˈkaʊntənsi/
accountant,"[""highschool"", ""cet6"", ""tem4"", ""ielts""]",n.. 会计师，会计,B1,"```json
[""Economy"", ""Laws""]
```",/əˈkaʊntənt/
accounting,"[""ielts""]",n.. 会计；会计学 ; v.. 解释；说明,A2,"```json
[""Economy"", ""Business""]
```  

*(Note: ""Business"" was not in the original list of domains, but ""Economy"" is the closest match. If strictly limited to the provided options, the answer would be `[""Economy""]`.)*  

**Strictly from the given choices:**  
```json
[""Economy""]
```",/əˈkaʊntɪŋ/
accredit,"[""tem8""]",v.. 委派；授权；认可 ; n.. 认证；鉴定,C2,null,/əˈkredɪt/
accrete,"[""greA""]",v.. 增长；累积,C2,"[""Science"", ""Environment""]",/əˈkriːt/
accretion,"[""greA""]",n.. 增长；累积 ; v.. 使增长；使累积,C2,"```json
[""Science"", ""Environment"", ""Health""]
```",/əˈkriːʃən/
accrue,"[""cet6"", ""tem8"", ""ielts"", ""greA""]",v.. 累积，增加,C2,"```json
[""Economy"", ""Laws""]
```",/əˈkruː/
accumulate,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 积累，积聚,B2,null,/əˈkjuːmjəleɪt/
accumulation,"[""ielts""]",n.. 积累，积聚,B2,null,/əˌkjuːmjəˈleɪʃən/
accuracy,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 准确，精确,B1,null,/ˈækjərəsi/
accurate,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 准确的，精确的,B1,null,/ˈækjərət/
accusation,"[""tem4"", ""ielts"", ""toefl""]",n.. 指责，控告,B2,null,/ˌæk.jəˈzeɪ.ʃən/
accuse,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 指责，控告,B1,null,/əˈkjuːz/
accustom,"[""cet4"", ""cet6"", ""tem4"", ""toefl""]",v.. 使习惯于,B1,null,/əˈkʌstəm/
accustomed,"[""highschool"", ""cet4"", ""toefl""]",adj.. 习惯的，惯常的,B1,null,/əˈkʌstəmd/
ace,"[""tem4""]",n.. 王牌；高手 ; v.. 发球得分；轻松应对 ; adj.. 一流的,C1,"```json
[""Sports"", ""Fashion""]
```",/eɪs/
acerbic,"[""greA""]",adj.. 尖酸的；刻薄的,C2,null,/əˈsɜːrbɪk/
ache,"[""highschool"", ""cet4"", ""tem4""]",v.. 疼痛 ; n.. 疼痛,B2,null,/eɪk/
achieve,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",v.. 实现，达到,A2,null,/əˈtʃiːv/
achievement,"[""highschool"", ""cet4"", ""tem4"", ""ielts""]",n.. 成就，成绩,B1,null,/əˈtʃiːvmənt/
acid,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 酸；酸性物质 ; adj.. 酸的；尖刻的,B2,"```json
[""Tech"", ""Science"", ""Health"", ""Environment""]
```",/ˈæsɪd/
acknowledge,"[""highschool"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 承认；告知收到,B1,null,/əkˈnɒlɪdʒ/
acknowledgement,"[""tem4""]",n.. 承认；感谢 ; v.. 承认；告知收到,B1,null,"/əkˈnɒlɪdʒmənt/ (UK)  
/əkˈnɑːlɪdʒmənt/ (US)"
acme,"[""greA""]",n.. 顶点，极点,C2,null,/ˈækmi/
acolyte,"[""greA""]",n.. 侍从；助手,C2,null,/ˈækəlaɪt/
acorn,"[""greA""]",n.. 橡果,C2,null,/ˈeɪkɔːrn/
acoustic,"[""toefl"", ""greA""]",adj.. 声学的；听觉的 ; n.. 音响效果,C2,"```json
[""Tech"", ""Art"", ""Health"", ""Media""]
```",/əˈkuːstɪk/
acoustics,"[""tem8""]",n.. 声学；音响效果,C2,"```json
[""Tech"", ""Science"", ""Art"", ""Environment""]
```",/əˈkuːstɪks/
acquaint,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 使认识，使了解,C2,null,/əˈkweɪnt/
acquaintance,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 相识，熟人,B1,null,/əˈkweɪntəns/
acquainted,"[""ielts"", ""greA""]",adj.. 熟悉的；认识的,C2,null,/əˈkweɪntɪd/
acquiesce,"[""tem8"", ""greA""]",v.. 默许，默认,C2,null,/ˌækwiˈɛs/
acquire,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",v.. 获得，学到 ; n.. 获得物,B1,null,/əˈkwaɪər/
acquired,"[""greA""]",v.. 获得，习得 ; adj.. 后天获得的,B1,null,/əˈkwaɪərd/
acquisition,"[""highschool"", ""tem4"", ""ielts""]",n.. 获得，收购 ; v.. 获得，习得,B2,"```json
[""Tech"", ""Economy"", ""Business"", ""Laws""]
```",/ˌækwɪˈzɪʃən/
acquisitive,"[""toefl"", ""greA""]",adj.. 贪婪的；渴望获得的,C2,null,/əˈkwɪzɪtɪv/
acquit,"[""tem8"", ""toefl"", ""greA""]",v.. 宣告无罪；免除责任,C2,null,/əˈkwɪt/
acquittal,"[""tem8"", ""greA""]",n.. 无罪判决,C2,"```json
[""Laws"", ""Politics"", ""Society""]
```",/əˈkwɪtəl/
acre,"[""highschool"", ""cet4"", ""tem4""]",n.. 英亩,B2,null,/ˈeɪkər/
acrid,"[""toefl"", ""greA""]",adj.. 辛辣的；刺鼻的,C2,null,/ˈækrɪd/
acrimonious,"[""toefl"", ""greA""]",adj.. 尖刻的，激烈的,C2,null,/ˌæk.rɪˈməʊ.ni.əs/
acrimony,"[""tem8"", ""toefl"", ""greA""]",n.. 尖刻，刻薄,C2,null,/ˈæk.rə.moʊ.ni/
acrobat,"[""tem4"", ""greA""]",n.. 杂技演员,C2,null,/ˈæk.rə.bæt/
acronym,"[""tem4""]",n.. 首字母缩略词,C2,"```json
[""Tech"", ""Science"", ""Education"", ""Literature""]
```",/ˈæk.rə.nɪm/
acrophobia,"[""greA""]",n.. 恐高症,C2,null,/əˈkrɒfəʊbiə/
across,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts""]",prep.. 横过，穿过；在...对面 ; adv.. 横过，穿过；在对面,A2,null,/əˈkrɒs/
act,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",v.. 行动；表演 ; n.. 行为；法案,A2,null,/ækt/
acting,"[""tem4"", ""toefl""]",n.. 表演；演技 ; adj.. 代理的；临时的,A2,"```json
[""Art"", ""Media""]
```",/ˈæktɪŋ/
action,"[""midschool"", ""highschool"", ""cet4"", ""cet6"", ""tem4"", ""toefl""]",n.. 行动；行为 ; v.. 对…起诉；采取行动,A1,null,/ˈæk.ʃən/
activate,"[""cet6"", ""tem4"", ""ielts""]",v.. 激活；启动,A2,null,/ˈæktɪveɪt/
active,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""toefl""]",adj.. 活跃的，积极的 ; n.. 主动语态；积极分子,B1,null,/ˈæktɪv/
actively,"[""ielts""]",adv.. 积极地；活跃地,B2,null,/ˈæktɪvli/
activist,"[""tem4""]",n.. 活动家；积极分子,A2,"```json
[""Politics"", ""Society"", ""Environment"", ""Health"", ""Laws""]
```",/ˈæktɪvɪst/
activity,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""toefl""]",n.. 活动；行动 ; adj.. 活跃的,A1,null,/ækˈtɪvɪti/
actor,"[""highschool"", ""cet4"", ""tem4""]",n.. 演员,A1,"```json
[""Art"", ""Media"", ""Literature"", ""Society""]
```",/ˈæktər/
actress,"[""highschool"", ""cet4"", ""tem4""]",n.. 女演员,B1,null,/ˈæktrɪs/
actual,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 实际的；真实的,B2,null,/ˈæk.tʃu.əl/
actuality,"[""tem8""]",n.. 现实，实际,A2,null,/ˌæk.tʃuˈæl.ə.ti/
actually,"[""cet4"", ""tem4"", ""ielts""]",adv.. 实际上,A2,,/ˈæk.tʃu.ə.li/
acuity,"[""greA""]",n.. 敏锐，尖锐,C2,null,/əˈkjuːɪti/
acumen,"[""tem8"", ""toefl"", ""greA""]",n.. 敏锐，聪明,C2,null,/ˈækjʊmən/
acupuncture,"[""tem4""]",n.. 针灸,C2,,/ˈækjʊˌpʌŋktʃər/
acute,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 尖锐的；剧烈的；急性的 ; n.. 锐角,B2,null,/əˈkjuːt/
acutely,"[""cet6""]",adv.. 尖锐地；剧烈地,C2,null,/əˈkjuːtli/
ad,"[""highschool"", ""cet4"", ""tem4"", ""tem8""]",n.. 广告,B1,,/æd/
adage,"[""toefl"", ""greA""]",n.. 谚语，格言,C2,null,/ˈædɪdʒ/
adamant,"[""tem8"", ""greA""]",adj.. 固执的，坚决的,B1,null,/ˈædəmənt/
adapt,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 适应；改编 ; adj.. 适合的,B1,null,/əˈdæpt/
adaptable,"[""tem4"", ""toefl"", ""greA""]",adj.. 能适应的；适应性强的,B2,null,/əˈdæptəbəl/
adaptation,"[""highschool"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",n.. 适应；改编 ; v.. 使适应；改编,B2,null,/ˌædæpˈteɪʃən/
adapter,"[""tem4""]",n.. 适配器；改编者,B1,"```json
[""Tech"", ""Economy"", ""Science"", ""Art"", ""Fashion"", ""Media"", ""Literature"", ""Education"", ""Laws""]
```",/əˈdæptər/
add,"[""highschool"", ""cet4"", ""tem4""]",v.. 加；添加 ; n.. 加法,A1,null,/æd/
addendum,"[""greA""]",n.. 附录；补遗,C2,null,/əˈdɛndəm/
addict,"[""cet6"", ""tem4"", ""toefl"", ""greA""]",v.. 使成瘾，沉迷 ; n.. 瘾君子；入迷的人,B2,null,/ˈædɪkt/
addicted,"[""highschool"", ""toefl""]",adj.. 上瘾的；入迷的,B2,null,/əˈdɪktɪd/
addiction,"[""tem4""]",n.. 瘾；沉迷,B2,"```json
[""Health"", ""Society"", ""Psychology""]
```  

(Note: ""Psychology"" is implied within ""Health"" or ""Society,"" but since it wasn't explicitly listed in your choices, the answer prioritizes the given domains.)  

If strictly limited to your provided list:  
```json
[""Health"", ""Society""]
```",/əˈdɪkʃən/
addictive,"[""tem8""]",adj.. 上瘾的；使人入迷的,B2,null,/əˈdɪktɪv/
addition,"[""highschool"", ""cet4"", ""tem4"", ""greA""]",n.. 加法；增加 ; v.. 添加；补充,A2,null,/əˈdɪʃən/
additional,"[""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 额外的，附加的,A2,null,/əˈdɪʃənəl/
additionally,"[""tem4""]",adv.. 此外，另外,B2,null,/əˈdɪʃənəli/
