word,word_book,definition,CEFR,tag,phonetic
nominee,"[""tem8"", ""toefl""]",n.. 被提名者,B2,null,/ˌnɒmɪˈniː/
nonchalance,"[""greA""]",n.. 冷漠，漠不关心,C2,null,/ˈnɒnʃələns/
nonchalant,"[""tem8"", ""greA""]",adj.. 漠不关心的，冷淡的,C2,null,/ˈnɒn.ʃəl.ənt/
noncommittal,"[""greA""]",adj.. 不表态的；含糊的,B1,null,/nɒnkəˈmɪt(ə)l/
nonconformist,"[""greA""]",n.. 不墨守成规者；反传统者,B2,null,/ˌnɒnkənˈfɔːmɪst/
none,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",pron.. 毫无；一个也没有,B1,null,/nʌn/
nonentity,"[""greA""]",n.. 无足轻重的人；虚无,A1,null,/nɒˈnɛntɪti/
nonetheless,"[""tem8""]",adv.. 尽管如此,B1,null,/ˌnʌnðəˈlɛs/
nonflammable,"[""greA""]",adj.. 不易燃的,C2,"```json
[""Tech"", ""Science"", ""Environment"", ""Health""]
```",/ˌnɒnˈflæməbəl/
nonplus,"[""greA""]",v.. 使困惑；使为难 ; n.. 困惑；为难,C2,null,/ˈnɒnplʌs/
nonporous,"[""greA""]",adj.. 无孔的,C2,"```json
[""Science"", ""Tech"", ""Environment"", ""Health""]
```",/nɒnˈpɔːrəs/
nonradioactive,"[""greA""]",adj.. 非放射性的,C2,"```json
[""Science"", ""Health""]
```",/ˌnɒnˌreɪdiəʊˈæktɪv/
nonsense,"[""cet4"", ""tem4"", ""ielts"", ""toefl""]",n.. 胡说，废话 ; adj.. 荒谬的,B1,null,/ˈnɒnsəns/
nonsensical,"[""greA""]",adj.. 无意义的；荒谬的,C2,null,/ˌnɒnˈsɛnsɪkəl/
nonstop,"[""tem8""]",adj.. 不停的，不间断的 ; adv.. 不停地，不间断地,A1,null,/nɒnˈstɒp/
nonthreatening,"[""greA""]",adj.. 无威胁的；不构成威胁的,B2,null,/nɒnˈθrɛtənɪŋ/
nonviable,"[""greA""]",adj.. 不可行的；不能生存的,C2,null,/nɒnˈvaɪəbəl/
noodle,"[""midschool"", ""highschool"", ""tem4""]",n.. 面条,C2,null,/ˈnuːdəl/
noon,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 中午，正午,A2,null,/nuːn/
nor,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",conj.. 也不,B1,null,/nɔːr/
nordic,"[""tem8""]",adj.. 北欧的,C2,null,/ˈnɔːrdɪk/
norm,"[""cet6"", ""tem8"", ""ielts"", ""greA""]",n.. 规范；标准,B2,null,/nɔːrm/
normal,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adj.. 正常的；标准的 ; n.. 常态；标准,A2,null,/ˈnɔːrməl/
normalization,"[""cet6""]",n.. 规范化；正常化,A2,"```json
[""Tech"", ""Economy"", ""Science"", ""Politics"", ""Environment"", ""Health"", ""Society"", ""Laws""]
```",/ˌnɔːrməlɪˈzeɪʃən/
normally,"[""cet4"", ""tem4"", ""ielts""]",adv.. 通常，正常地,B1,null,/ˈnɔːrməli/
north,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 北方 ; adj.. 北方的 ; adv.. 向北,A2,null,/nɔːrθ/
northeast,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 东北 ; adj.. 东北的 ; adv.. 向东北,B1,null,/nɔːθˈiːst/
northern,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adj.. 北方的，北部的,B1,null,/ˈnɔːrðərn/
northwest,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 西北,B1,null,/ˈnɔːθˈwɛst/
nose,"[""midschool"", ""highschool"", ""cet4"", ""cet6"", ""tem4""]",n.. 鼻子 ; v.. 嗅，探听,A1,null,/noʊz/
nostalgia,"[""tem8"", ""toefl"", ""greA""]",n.. 怀旧；乡愁,C2,null,/nɒˈstældʒə/
nostalgic,"[""tem8""]",adj.. 怀旧的,C2,null,/nɒˈstældʒɪk/
nostril,"[""tem4""]",n.. 鼻孔,B2,null,/ˈnɒstrəl/
nostrum,"[""greA""]",n.. 万灵药；秘方,C2,null,/ˈnɒstrəm/
not,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adv.. 不,A1,null,/nɒt/
notable,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 显著的，著名的 ; n.. 名人，显要人物,A1,null,/ˈnoʊtəbəl/
notably,"[""cet6"", ""ielts""]",adv.. 显著地；尤其,A1,null,/ˈnoʊtəbli/
notary,"[""tem8""]",n.. 公证人,A1,"```json
[""Laws"", ""Society""]
```",/ˈnoʊtəri/
notate,"[""toefl""]",v.. 记下；以符号表示,A1,null,/noʊˈteɪt/
notation,"[""tem8""]",n.. 符号；记号；乐谱 ; v.. 用符号表示,A1,null,/noʊˈteɪʃən/
notch,"[""greA""]",n.. 凹口；等级 ; v.. 刻凹痕；赢得,C2,"```json
[""Tech"", ""Fashion"", ""Media"", ""Sports""]
```",/nɒtʃ/
note,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts""]",n.. 笔记；便条；音符；注释 ; v.. 注意；记录；指出,A1,null,/noʊt/
notebook,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 笔记本；笔记本电脑,A1,null,/ˈnoʊtˌbʊk/
noted,"[""cet6"", ""tem4"", ""toefl""]",adj.. 著名的 ; v.. 注意到；记录,A1,null,/ˈnoʊtɪd/
nothing,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",pron.. 没有什么,A1,null,/ˈnʌθɪŋ/
notice,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",v.. 注意到；通知 ; n.. 通知；注意；公告,A2,null,/ˈnoʊtɪs/
noticeable,"[""cet4"", ""tem4"", ""toefl""]",adj.. 明显的，显著的,B1,null,/ˈnoʊtɪsəbəl/
notification,"[""tem8""]",n.. 通知，通告,A1,null,/nəʊtɪfɪˈkeɪʃən/
notify,"[""cet6"", ""tem4"", ""ielts"", ""toefl""]",v.. 通知，告知,A1,null,/ˈnoʊtɪfaɪ/
notion,"[""cet6"", ""tem4"", ""ielts"", ""toefl""]",n.. 概念；观念,B1,null,/ˈnoʊʃən/
notoriety,"[""tem8""]",n.. 恶名，声名狼藉,A1,null,/ˌnəʊtəˈraɪəti/
notorious,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 臭名昭著的,B1,null,/nəʊˈtɔːrɪəs/
notoriously,"[""cet6""]",adv.. 臭名昭著地,A1,null,/nəʊˈtɔːriəsli/
notwithstanding,"[""cet6"", ""tem8"", ""ielts"", ""toefl""]",prep.. 尽管 ; adv.. 尽管如此,C1,null,/ˌnɒtwɪθˈstændɪŋ/
nought,"[""cet6"", ""tem8"", ""ielts""]",n.. 零；无,B2,null,/nɔːt/
noun,"[""cet4"", ""tem4""]",n.. 名词,A2,null,/naʊn/
nourish,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",v.. 滋养；培育 ; n.. 营养品,B2,null,/ˈnɜːrɪʃ/
nourishment,"[""cet6"", ""tem4"", ""ielts""]",n.. 营养；滋养,B2,null,/ˈnɜːrɪʃmənt/
nova,"[""greA""]",n.. 新星 ; n.. 诺瓦（品牌名）,B2,"[""Science"", ""Tech"", ""Literature""]",/ˈnoʊvə/
novel,"[""midschool"", ""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",n.. 小说 ; adj.. 新颖的,A2,"```json
[""Literature"", ""Art"", ""Media""]
```",/ˈnɒvəl/
novelist,"[""highschool"", ""tem4""]",n.. 小说家,B1,"```json
[""Art"", ""Literature""]
```",/ˈnɒvəlɪst/
novelty,"[""cet6"", ""tem8"", ""ielts"", ""toefl"", ""greA""]",n.. 新奇；新颖,B2,"```json
[""Tech"", ""Art"", ""Fashion"", ""Literature""]
```",/ˈnɒvəlti/
november,"[""midschool"", ""cet4"", ""tem4""]",n.. 十一月,A1,null,/noʊˈvɛmbər/
novice,"[""tem8"", ""toefl"", ""greA""]",n.. 新手，初学者,B2,null,/ˈnɑvɪs/
now,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adv.. 现在；目前 ; n.. 现在,A2,null,/naʊ/
nowadays,"[""highschool"", ""cet4"", ""tem4"", ""ielts""]",adv.. 现今，如今,A2,null,/ˈnaʊədeɪz/
nowhere,"[""midschool"", ""highschool"", ""cet4"", ""tem4"", ""ielts""]",adv.. 无处,B1,null,/ˈnoʊ.wɛr/
noxious,"[""toefl"", ""greA""]",adj.. 有害的；有毒的,C2,null,/ˈnɒkʃəs/
nuance,"[""tem8"", ""greA""]",n.. 细微差别 ; v.. 细致表达,C2,null,/ˈnjuːɑːns/
nubile,"[""greA""]",adj.. 适婚的；妙龄的,C2,null,/ˈnjuːbaɪl/
nuclear,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 核的；核心的 ; n.. 核武器,B1,"```json
[""Tech"", ""Science"", ""Environment"", ""Health"", ""Politics""]
```",/ˈnjuːkliər/
nucleate,"[""greA""]",v.. 成核；形成核心 ; adj.. 有核的,C2,"```json
[""Tech"", ""Science"", ""Health""]
```",/ˈnjuːklɪeɪt/
nucleus,"[""cet4"", ""cet6"", ""tem8"", ""ielts"", ""toefl"", ""greA""]",n.. 核心；原子核；细胞核,B1,"```json
[""Tech"", ""Science"", ""Health""]
```",/ˈnjuːkliəs/
nude,"[""tem8""]",adj.. 裸体的 ; n.. 裸体；裸体画,C2,,/njuːd/
nudge,"[""tem8"", ""greA""]",v.. 轻推；轻触 ; n.. 轻推；推动,C2,"```json
[""Economy"", ""Politics"", ""Society"", ""Laws""]
```",/nʌdʒ/
nudity,"[""tem8""]",n.. 裸体,C2,null,/ˈnjuːdɪti/
nugatory,"[""greA""]",adj.. 无价值的；无效的,C2,null,/ˈnjuːɡətəri/
nuisance,"[""cet4"", ""tem4"", ""ielts""]",n.. 讨厌的人（或事物）,B2,null,/ˈnjuːsəns/
nullify,"[""ielts"", ""greA""]",v.. 使无效；取消,C1,null,/ˈnʌlɪfaɪ/
numb,"[""highschool"", ""tem8"", ""toefl"", ""greA""]",adj.. 麻木的；失去知觉的 ; v.. 使麻木；使失去感觉,C2,null,/nʌm/
number,"[""midschool"", ""highschool"", ""cet4"", ""cet6"", ""tem4""]",n.. 数字；号码 ; v.. 编号；总计,A1,null,/ˈnʌmbər/
numeral,"[""tem4""]",num.. 数字 ; n.. 数字符号,C2,null,/ˈnjuːmərəl/
numerical,"[""cet6"", ""tem4"", ""ielts""]",adj.. 数字的，数值的,B2,null,/njuːˈmɛrɪkəl/
numerous,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 众多的，许多的,B1,null,/ˈnjuːmərəs/
numismatist,"[""greA""]",n.. 钱币学家；钱币收藏家,C2,"```json
[""History"", ""Art""]
```",/njuːˈmɪzmətɪst/
nun,"[""cet6"", ""tem4""]",n.. 修女，尼姑,C2,null,/nʌn/
nurse,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 护士；护理者 ; v.. 护理；照料,A2,"```json
[""Health"", ""Society""]
```",/nɜːrs/
nursery,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts""]",n.. 托儿所；苗圃,B2,null,/ˈnɜːrsəri/
nurture,"[""tem8"", ""toefl"", ""greA""]",v.. 培育，培养 ; n.. 养育，教养,C2,null,/ˈnɜːrtʃər/
nut,"[""highschool"", ""cet4"", ""cet6"", ""tem4""]",n.. 坚果；螺母；疯子 ; v.. 用头撞；采坚果,B2,null,/nʌt/
nutrient,"[""tem8"", ""toefl"", ""greA""]",n.. 营养素，养分,B1,"```json
[""Health"", ""Science"", ""Environment""]
```",/ˈnjuːtriənt/
nutriment,"[""toefl""]",n.. 营养物，滋养品,C2,"```json
[""Health"", ""Science""]
```",/ˈnjuːtrɪmənt/
nutrition,"[""highschool"", ""tem4"", ""toefl"", ""greA""]",n.. 营养；营养学,B1,"```json
[""Health"", ""Science""]
```",/njuːˈtrɪʃən/
nutritious,"[""cet6"", ""tem4""]",adj.. 有营养的,B1,,/njuˈtrɪʃəs/
nuzzle,"[""tem8""]",v.. 用鼻子轻触；依偎 ; n.. 鼻部；轻触,C2,null,/ˈnʌzəl/
nylon,"[""cet4"", ""tem4"", ""ielts""]",n.. 尼龙,C2,"```json
[""Tech"", ""Science"", ""Fashion""]
```",/ˈnaɪlɒn/
nymph,"[""tem8""]",n.. 仙女；幼虫,C2,null,/nɪmf/
o,"[""midschool"", ""highschool"", ""cet4""]",n.. 零；圆形物 ; interj.. 哦，啊,B2,null,"/əʊ/ (British English)
/oʊ/ (American English)"
o'clock,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",adv.. ...点钟,A1,null,/əˈklɒk/
oafishness,"[""greA""]",n.. 笨拙，愚蠢,C2,null,/ˈoʊfɪʃnəs/
oak,"[""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 橡树 ; adj.. 橡木的,A2,null,/oʊk/
oar,"[""cet6"", ""tem4"", ""ielts""]",n.. 桨 ; v.. 划（船）,C2,null,/ɔːr/
oasis,"[""tem8"", ""toefl"", ""greA""]",n.. 绿洲；乐土,C2,null,/əʊˈeɪsɪs/
oath,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 誓言；咒骂,B2,null,/oʊθ/
oats,"[""tem4""]",n.. 燕麦,C2,null,/oʊts/
obdurate,"[""greA""]",adj.. 固执的，顽固的,C2,null,/ˈɒbdjʊrət/
obedience,"[""cet6"", ""tem4"", ""toefl""]",n.. 服从，顺从,B2,null,/əˈbiːdiəns/
obedient,"[""cet6"", ""tem4"", ""ielts"", ""greA""]",adj.. 顺从的，听话的,B2,null,/əˈbiːdiənt/
obeisance,"[""greA""]",n.. 敬礼；鞠躬 ; v.. 行礼；致敬,C2,null,/oʊˈbeɪsəns/
obese,"[""tem8"", ""greA""]",adj.. 肥胖的,C2,null,/oʊˈbiːs/
obesity,"[""cet6"", ""tem8""]",n.. 肥胖,C2,,/oʊˈbiːsəti/
obey,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",v.. 服从，遵守,B2,null,/əˈbeɪ/
obfuscate,"[""greA""]",v.. 使困惑；使模糊,C2,"```json
[""Tech"", ""Science"", ""Laws"", ""Literature"", ""Media""]
```","/ˈɒbfʌskeɪt/ (UK), /ˈɑːbfʌskeɪt/ (US)"
obituary,"[""tem8"", ""greA""]",n.. 讣告,B2,null,/əˈbɪtʃuˌɛri/
object,"[""midschool"", ""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts""]",v.. 反对；抗议 ; n.. 物体；对象；目标,B2,null,/ˈɒbdʒɪkt/
objection,"[""cet4"", ""tem4"", ""ielts"", ""greA""]",n.. 反对；异议 ; v.. 反对；提出异议,B1,null,/əbˈdʒɛkʃən/
objective,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 目标；目的 ; adj.. 客观的,B2,null,/əbˈdʒɛktɪv/
obligation,"[""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 义务；责任,B2,null,/ˌɒblɪˈɡeɪʃən/
obligatory,"[""tem8"", ""toefl"", ""greA""]",adj.. 必须的，强制性的,C2,null,/əˈblɪɡətɔːri/
oblige,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""greA""]",v.. 迫使；施恩于 ; n.. 恩惠；义务,C2,null,/əˈblaɪdʒ/
obliging,"[""toefl"", ""greA""]",adj.. 乐于助人的,C2,null,/əˈblaɪdʒɪŋ/
oblique,"[""greA""]",adj.. 斜的；间接的 ; n.. 斜线；斜肌,C2,null,/əˈbliːk/
obliterate,"[""tem8"", ""ielts"", ""greA""]",v.. 消灭，彻底摧毁,C2,null,/əˈblɪtəreɪt/
oblivion,"[""tem8"", ""toefl""]",n.. 遗忘；湮没,C2,null,/əˈblɪviən/
oblivious,"[""tem4"", ""toefl"", ""greA""]",adj.. 未察觉的，不注意的,C2,null,/əˈblɪviəs/
oblong,"[""tem4"", ""ielts""]",adj.. 长方形的 ; n.. 长方形,C2,null,/ˈɒb.lɒŋ/
obloquy,"[""greA""]",n.. 辱骂；恶名,C2,null,/ˈɒbləkwi/
obnoxious,"[""greA""]",adj.. 讨厌的，可憎的,C2,null,/əbˈnɒk.ʃəs/
oboe,"[""tem8""]",n.. 双簧管,C2,null,/ˈoʊboʊ/
obscenity,"[""tem8""]",n.. 淫秽；猥亵,C2,null,/əbˈsenəti/
obscure,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 模糊的；晦涩的 ; v.. 使模糊；掩盖,C1,null,/əbˈskjʊər/
obscurity,"[""cet6"", ""tem8"", ""greA""]",n.. 默默无闻；晦涩,C2,null,/əbˈskjʊərɪti/
obsequious,"[""greA""]",adj.. 谄媚的，奉承的,C2,null,/əbˈsiːkwiəs/
observance,"[""tem8"", ""ielts"", ""toefl""]",n.. 遵守；仪式,C2,null,/əbˈzɜːrvəns/
observant,"[""tem8""]",adj.. 观察力敏锐的；注意的,C2,null,/əbˈzɜːrvənt/
observation,"[""cet4"", ""cet6"", ""tem4"", ""toefl""]",n.. 观察；观测 ; v.. 观察；注意到,B1,null,/ˌɒbzəˈveɪʃən/
observatory,"[""tem4"", ""greA""]",n.. 天文台；观测台,C2,"```json
[""Science"", ""Environment"", ""History""]
```",/əbˈzɜrvətɔːri/
observe,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",v.. 观察；遵守；注意到 ; n.. 观察；评论,B1,null,/əbˈzɜrv/
observer,"[""cet4"", ""tem4""]",n.. 观察者；观察员 ; v.. 观察；遵守,B2,null,/əbˈzɜrvər/
obsess,"[""tem8"", ""toefl"", ""greA""]",v.. 迷住；使着迷,B2,null,/əbˈsɛs/
obsessed,"[""greA""]",adj.. 着迷的，沉迷的,B2,null,/əbˈsest/
obsession,"[""greA""]",n.. 痴迷；困扰,B2,null,/əbˈsɛʃən/
obsessive,"[""tem8""]",adj.. 强迫性的；着迷的,B2,null,/əbˈsɛsɪv/
obsolescent,"[""greA""]",adj.. 逐渐废弃的；过时的,C2,null,/ˌɒbsəˈlɛsənt/
obsolete,"[""tem8"", ""toefl"", ""greA""]",adj.. 废弃的，过时的 ; v.. 淘汰，废弃,C1,null,/ˌɒbsəˈliːt/
obstacle,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",n.. 障碍，阻碍,B1,null,/ˈɒbstəkəl/
obstinacy,"[""greA""]",n.. 固执，顽固,C2,null,/ˈɒbstɪnəsi/
obstinate,"[""cet6"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 固执的，顽固的,C2,null,/ˈɒbstɪnət/
obstreperous,"[""greA""]",adj.. 吵闹的，喧哗的,C2,null,/əbˈstrɛpərəs/
obstruct,"[""tem4"", ""toefl"", ""greA""]",v.. 阻碍，阻挡 ; n.. 障碍物,C2,null,/əbˈstrʌkt/
obstruction,"[""tem4"", ""ielts"", ""greA""]",n.. 阻塞，障碍 ; v.. 阻碍，阻挡,B2,null,/əbˈstrʌkʃən/
obtain,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",v.. 获得，得到,B1,null,/əbˈteɪn/
obtainable,"[""ielts"", ""greA""]",adj.. 可获得的,B1,null,/əbˈteɪnəbəl/
obtuse,"[""greA""]",adj.. 钝的；迟钝的,C2,null,/əbˈtjuːs/
obverse,"[""greA""]",n.. 正面；对立面 ; adj.. 正面的；对应的,C2,null,/ˈɒbvɜːrs/
obviate,"[""greA""]",v.. 避免；消除,C2,null,/ˈɒb.vi.eɪt/
obvious,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl"", ""greA""]",adj.. 明显的，显而易见的,B1,null,/ˈɒb.vi.əs/
obviously,"[""cet4""]",adv.. 显然，明显地,B1,"```json
[""Tech"", ""Economy"", ""Science"", ""Art"", ""History"", ""Politics"", ""Environment"", ""Health"", ""Sports"", ""Fashion"", ""Media"", ""Literature"", ""Education"", ""Society"", ""Laws"", ""Travel""]
```",/ˈɒb.vi.əs.li/
occasion,"[""cet4"", ""tem4"", ""ielts""]",n.. 场合；时机 ; v.. 引起,B1,null,/əˈkeɪʒən/
occasional,"[""cet4"", ""tem4"", ""ielts"", ""toefl""]",adj.. 偶尔的；临时的,B1,null,/əˈkeɪʒənəl/
occasionally,"[""cet4"", ""ielts""]",adv.. 偶尔，间或,B1,null,/əˈkeɪʒənəli/
occidental,"[""tem8""]",adj.. 西方的,C2,null,/ˌɒksɪˈdɛntəl/
occlude,"[""greA""]",v.. 阻塞；封闭,C2,"```json
[""Science"", ""Health""]
```",/əˈkluːd/
occult,"[""greA""]",adj.. 神秘的；超自然的 ; n.. 神秘学；玄学,C2,null,/əˈkʌlt/
occupancy,"[""tem8""]",n.. 占用，居住 ; v.. 占据，占用,C2,null,/ˈɒkjəpənsi/
occupation,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 职业；占有,A2,null,/ˌɒkjuˈpeɪʃən/
occupational,"[""tem4""]",adj.. 职业的,B2,null,/ˌɒkjʊˈpeɪʃənəl/
occupy,"[""highschool"", ""cet4"", ""tem4"", ""ielts"", ""toefl""]",v.. 占据；占用 ; v.. 使忙于；使从事,B1,null,/ˈɒkjəpaɪ/
occur,"[""highschool"", ""cet4"", ""cet6"", ""tem4"", ""ielts"", ""toefl""]",v.. 发生，出现,B1,null,/əˈkɜːr/
occurrence,"[""cet4"", ""cet6"", ""tem4"", ""ielts"", ""greA""]",n.. 发生，事件,B1,null,/əˈkɜːrəns/
ocean,"[""midschool"", ""highschool"", ""cet4"", ""tem4""]",n.. 海洋,B1,"```json
[""Environment"", ""Science"", ""Travel""]
```",/ˈoʊʃən/
oceania,"[""midschool"", ""highschool"", ""cet4""]",n.. 大洋洲,B1,null,/ˌoʊʃiˈæniə/
oceanographer,"[""toefl""]",n.. 海洋学家,C2,"```json
[""Science"", ""Environment""]
```",/ˌoʊʃəˈnɒɡrəfər/
oceanography,"[""tem8""]",n.. 海洋学,C2,,/ˌəʊʃəˈnɒɡrəfi/
october,"[""midschool"", ""cet4"", ""tem4""]",n.. 十月,A1,null,/ɒkˈtəʊbər/
octogenarian,"[""greA""]",n.. 八旬老人,C2,null,/ˌɒktədʒɪˈnɛːrɪən/
octopus,"[""tem8"", ""toefl""]",n.. 章鱼,C2,null,/ˈɒktəpəs/
